Numero;Date;Type;Nombre;Montant;Cours;Nom;YahooName;Remarques
349;2022-06-29 00:00:00;Achat;85;499.46;5.876;DERICHEBOURG;DBG.PA;
350;2022-07-01 00:00:00;Coupons;51;33.66;0.66;TOTAL;;
351;2022-07-05 00:00:00;Coupons;51;51;1;VEOLIA;;
352;2022-07-12 00:00:00;Coupons;1500;15;0.01;EUROPCAR;;
353;2022-08-04 00:00:00;Coupons;244;4.88;0.02;NOKIA;;
354;2022-08-09 00:00:00;Virement;;1815.63;;;;
355;2022-08-11 00:00:00;Virement;;1000;;;;
356;2022-08-11 00:00:00;Virement;;1000;;;;
357;2022-08-11 00:00:00;Virement;;1000;;;;
358;2022-08-26 00:00:00;Achat;59;795.26;13.47898305;OVH;;Premiere ligne de la banque postale
359;2022-09-20 00:00:00;Virement;0;4.88;;;;
360;2022-09-21 00:00:00;Coupons;45;2.3;0.051111111;STMICROELECTRONICS;;
361;2022-09-30 00:00:00;Achat;24;776.6;32.35833333;STMICROELECTRONICS;;
362;2022-09-30 00:00:00;Achat;41;803.08;19.58731707;VEOLIA;;
363;2022-10-03 00:00:00;Coupons;51;35.19;0.69;TOTAL;;
364;2022-10-06 00:00:00;Achat;184;804.65;4.373097826;DERICHEBOURG;;Voir montant de l'opération (car je trouve 808,45 sur un des relevé)-2 dividendes d'un OPCVM après cette operation
365;2022-11-03 00:00:00;Coupons;244;3.17;0.012991803;NOKIA;;
366;2022-11-17 00:00:00;Coupons;16;16;1;VINCI;;
367;2022-11-28 00:00:00;Achat;81;797.31;9.843333333;ORANGE;;Voir montant de l'opération (car je trouve 799,31 sur un des relevé)
368;2022-12-07 00:00:00;Coupons;201;60.3;0.3;ORANGE;;
369;2022-12-14 00:00:00;Coupons;69;3.29;0.047681159;STMICROELECTRONICS;;
370;2022-12-16 00:00:00;Coupons;51;51;1;TOTAL;;
371;2023-01-03 00:00:00;Virement;0;2000;;;;
372;2023-01-11 00:00:00;Achat;80;798.47;9.980875;ORANGE;;Voir montant de l'opération (car je trouve 800,47 sur un des relevé)
373;2023-01-12 00:00:00;Coupons;51;35.19;0.69;TOTAL;;
374;2023-01-18 00:00:00;Coupons;1;4.5;4.5;KERING;;
375;2023-02-09 00:00:00;Coupons;244;3.17;0.012991803;NOKIA;;
376;2023-02-16 00:00:00;Coupons;269;86.08;0.32;DERICHEBOURG;;
377;2023-02-17 00:00:00;Achat;26;786.25;30.24038462;MICHELIN;;Voir montant de l'opération (car je trouve 788,25 sur un des relevé)
378;2023-03-07 00:00:00;Achat;26;787.82;30.30076923;MICHELIN;;Voir montant de l'opération (car je trouve 789,82 sur un des relevé)
379;2023-03-22 00:00:00;Coupons;69;3.25;0.047101449;STMICROELECTRONICS;;
380;2023-04-03 00:00:00;Coupons;51;35.19;0.69;TOTAL;;
381;2023-04-20 00:00:00;Achat;266;798;3;ORPEA;ORP.PA;Voir montant de l'opération (car je trouve 800 sur un des relevé)
382;2023-04-21 00:00:00;Virement;;800;;;;
383;2023-04-24 00:00:00;Virement;;700;;;;
384;2023-04-27 00:00:00;Coupons;16;48;;VINCI;;
385;2023-04-27 00:00:00;Coupons;40;61.2;;AIRBUS;;
386;2023-05-03 00:00:00;Coupons;127;177.8;;ENGIE;;
387;2023-05-04 00:00:00;Coupons;52;59.22;;STELLANTIS;;
388;2023-05-04 00:00:00;Coupons;244;4.75;;NOKIA;;
389;2023-05-04 00:00:00;Coupons;1;9.5;;KERING;;
390;2023-05-05 00:00:00;Coupons;15;27;;BOUYGUES;;
391;2023-05-09 00:00:00;Coupons;38;52.06;;FDJ;;
392;2023-05-10 00:00:00;Coupons;67;113.9;;AXA;;
393;2023-05-11 00:00:00;Coupons;92;103.04;;VEOLIA;;
394;2023-05-17 00:00:00;Achat;31;786.79;;UBISOFT;;
395;2023-05-17 00:00:00;Coupons;5;18;;EIFFAGE;;
396;2023-05-19 00:00:00;Coupons;97;24.25;;RENAULT;;
397;2023-05-19 00:00:00;Coupons;96;120;;MICHELIN;;
398;2023-05-24 00:00:00;Coupons;37;144.3;;BNP;;
399;2023-05-30 00:00:00;Coupons;25;87.5;;ERAMET;;
400;2023-05-31 00:00:00;Coupons;25;5.25;;DASSAULT SYSTEMES;;
401;2023-06-01 00:00:00;Coupons;93;158.1;;SOCIETE GENERALE;;
402;2023-06-01 00:00:00;Coupons;12;42.72;;SANOFI;;
403;2023-06-01 00:00:00;Coupons;24;32.4;;SAFRAN;;
404;2023-06-01 00:00:00;Coupons;47;49.35;;CREDIT AGRICOLE;;
405;2023-06-01 00:00:00;Coupons;5;16.25;;CAPGEMINI;;
406;2023-06-02 00:00:00;Coupons;15;16.5;;BOIRON;;
407;2023-06-07 00:00:00;Coupons;281;112.4;;ORANGE;;
408;2023-06-08 00:00:00;Coupons;16;2;;NEOEN;;
409;2023-06-08 00:00:00;Vente;-127;1524;;EDF;;
410;2023-06-09 00:00:00;Coupons;20;20;;EDENRED;;
